Размер;Процессы;Время (сек);GFLOPS;Ускорение;Эффективность (%);Операций;Статус
200;1;0.0024;6.72;1.00;100.0;16 млн;✓
200;2;0.0012;13.57;2.02;100.9;16 млн;✓
200;4;0.0006;27.24;4.05;101.4;16 млн;✓
200;8;0.0003;46.43;6.90;86.2;16 млн;✓
400;1;0.0184;6.96;1.00;100.0;128 млн;✓
400;2;0.0092;13.89;2.00;99.8;128 млн;✓
400;4;0.0046;27.63;3.97;99.2;128 млн;✓
400;8;0.0025;52.15;7.49;93.7;128 млн;✓
800;1;0.1418;7.22;1.00;100.0;1.02 млрд;✓
800;2;0.0774;13.24;1.83;91.6;1.02 млрд;✓
800;4;0.0548;18.69;2.59;64.7;1.02 млрд;✓
800;8;0.0552;18.56;2.57;32.1;1.02 млрд;✓
1200;1;0.4928;7.01;1.00;100.0;3.46 млрд;✓
1200;2;0.3559;9.71;1.38;69.2;3.46 млрд;✓
1200;4;0.2610;13.24;1.89;47.2;3.46 млрд;✓
1200;8;0.2575;13.42;1.91;23.9;3.46 млрд;✓
1600;1;1.5831;5.17;1.00;100.0;8.19 млрд;✓
1600;2;2.1295;3.85;0.74;37.2;8.19 млрд;✓
1600;4;1.2213;6.71;1.30;32.4;8.19 млрд;✓
1600;8;0.6632;12.35;2.39;29.8;8.19 млрд;✓
2000;1;3.2099;4.98;1.00;100.0;16.00 млрд;✓
2000;2;4.2099;3.80;0.76;38.1;16.00 млрд;✓
2000;4;2.3965;6.68;1.34;33.5;16.00 млрд;✓
2000;8;1.3419;11.92;2.39;29.9;16.00 млрд;✓
