Размер_матрицы;Потоки;Время_сек;GFLOPS;Ускорение;Эффективность_%
200;1;0.002387;6.70;1.00;100.0
200;2;0.001476;10.84;1.62;80.9
200;4;0.000872;18.35;2.74;68.4
200;8;0.001235;12.96;1.93;24.2
400;1;0.018459;6.93;1.00;100.0
400;2;0.010076;12.70;1.83;91.6
400;4;0.005333;24.00;3.46;86.5
400;8;0.004978;25.71;3.71;46.4
800;1;0.147964;6.92;1.00;100.0
800;2;0.078896;12.98;1.88;93.8
800;4;0.042165;24.29;3.51;87.7
800;8;0.033862;30.24;4.37;54.6
1200;1;0.526596;6.56;1.00;100.0
1200;2;0.270592;12.77;1.95;97.3
1200;4;0.147260;23.47;3.58;89.4
1200;8;0.119122;29.01;4.42;55.3
